pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns,campaign_role
PAIR_F50F67FD463D,TWIST_4_1,twist,CAND_12006E959F5BDE26,CAND_A00F2DDC350C3E5D,0.75,0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_FF228A57E1E1,TWIST_4_1,twist,CAND_12006E959F5BDE26,CAND_43A0199B414530DF,1.5,1.5,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_40E63C1F309E,TWIST_4_1,twist,CAND_223C1AEA729EA285,CAND_FD807DA407631FE9,-1.5,-1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_545D984DC261,TWIST_4_1,twist,CAND_223C1AEA729EA285,CAND_D9B0B199A920F033,-0.75,-0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_0E505F8F21CF,TWIST_4_1,twist,CAND_223C1AEA729EA285,CAND_D321538F606FB08D,0.75,0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_68EDFDCDD602,TWIST_4_1,twist,CAND_223C1AEA729EA285,CAND_B5D944BECF8BD03B,1.5,1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_BCC54EFC0B03,TWIST_5_2,twist,CAND_05D22362231A760D,CAND_C0DCF7F01177ACDF,-1.5,-1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_1881993699A9,TWIST_5_2,twist,CAND_05D22362231A760D,CAND_3A0CD24B4BA5A457,-0.75,-0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_C94AA695C84A,TWIST_5_2,twist,CAND_05D22362231A760D,CAND_C552C4888235522B,0.75,0.75,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_608E4FCE4057,TWIST_5_2,twist,CAND_05D22362231A760D,CAND_C9ECEE2951D663E8,1.5,1.5,total_beta,0.75,3,0.5,kelvin_hole_extended
PAIR_5F82436AB779,TWIST_5_2,twist,CAND_BF3A48429D802272,CAND_A5473079C47FE414,-1.5,-1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_25722DE3A465,TWIST_5_2,twist,CAND_BF3A48429D802272,CAND_A71487F48D36CAEF,-0.75,-0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_28E851A36225,TWIST_5_2,twist,CAND_BF3A48429D802272,CAND_B3CFF441996544A8,0.75,0.75,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_5A381873B8D9,TWIST_5_2,twist,CAND_BF3A48429D802272,CAND_0462E7F70281B795,1.5,1.5,total_beta,1.0,3,0.5,kelvin_hole_extended
PAIR_430645E746FC,TWIST_5_2,twist,CAND_5EFEB733F804EA66,CAND_C2317EAA0B14BF26,-1.5,-1.5,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_950CD79011B2,TWIST_5_2,twist,CAND_5EFEB733F804EA66,CAND_F80B0BEF8E40E82F,-0.75,-0.75,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_F55331AADD1F,TWIST_5_2,twist,CAND_5EFEB733F804EA66,CAND_49413EB80A7B7FBB,0.75,0.75,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_A873B88AB6C0,TWIST_5_2,twist,CAND_5EFEB733F804EA66,CAND_F778E24FBCB49D98,1.5,1.5,total_beta,1.5,3,0.5,kelvin_hole_extended
PAIR_92151C8B44A4,TWIST_5_2,twist,CAND_7D93F84DE92F20C0,CAND_D22C40D2D0E827A4,-1.5,-1.5,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_909A599A2EB1,TWIST_5_2,twist,CAND_7D93F84DE92F20C0,CAND_7EEE2F09E9269CA0,-0.75,-0.75,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_080766530A28,TWIST_5_2,twist,CAND_7D93F84DE92F20C0,CAND_BFE9CF07663A643A,0.75,0.75,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_6975A8363D33,TWIST_5_2,twist,CAND_7D93F84DE92F20C0,CAND_C50484F071EC1231,1.5,1.5,total_beta,0.75,3,1.0,kelvin_hole_extended
PAIR_C46B73B4F5BF,TWIST_5_2,twist,CAND_F6255D7C50024B76,CAND_3316A27B1DAC4460,-1.5,-1.5,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_BAB91094361C,TWIST_5_2,twist,CAND_F6255D7C50024B76,CAND_248553EE6213157C,-0.75,-0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_AEE16D880BEF,TWIST_5_2,twist,CAND_F6255D7C50024B76,CAND_8B8A7DD202BA8354,0.75,0.75,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_0AC0173EF65C,TWIST_5_2,twist,CAND_F6255D7C50024B76,CAND_6517F396B805844B,1.5,1.5,total_beta,1.0,3,1.0,kelvin_hole_extended
PAIR_540399575D95,TWIST_5_2,twist,CAND_78127420544D1367,CAND_8BB28201B2B17378,-1.5,-1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_6993BB92D21B,TWIST_5_2,twist,CAND_78127420544D1367,CAND_09DE945CE7798F76,-0.75,-0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_024D775F7A1D,TWIST_5_2,twist,CAND_78127420544D1367,CAND_321BCF2CF7B43354,0.75,0.75,total_beta,1.5,3,1.0,kelvin_hole_extended
PAIR_214BF0E9A0EE,TWIST_5_2,twist,CAND_78127420544D1367,CAND_1D88953AD219CF09,1.5,1.5,total_beta,1.5,3,1.0,kelvin_hole_extended
