low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
12,38,1,1,22,54,-0.6465779990367235,-0.5467998992358323,0.1543171898046971,0.7244852751882198,0.7244852751882198,0.960657619408513,18,18,-0.984767476877,-0.986990672572,0.002223195695001956,1.0326768232177772,1.0221465524662259,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.8017079914943556,False,False
13,39,1,1,23,55,0.6465779990367235,0.5467998992358323,0.1543171898046971,0.7244852751882198,0.7244852751882198,0.960657619408513,18,18,0.984767476877,0.986990672572,0.002223195695001956,1.0326768232177772,1.0221465524662259,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.8017079914943556,False,False
60,76,1,1,70,92,-0.0683192460339181,-0.01672440197456184,0.755202187590613,0.8269530324006419,0.8269530324006419,0.9757339276446194,11,11,-0.0130875169874,-0.0308980058801,0.017810488892664622,1.9123470956290372,1.3462237961609649,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.776824973212948,False,False
61,77,1,1,71,93,0.0683192460339181,0.01672440197456184,0.755202187590613,0.8269530324006419,0.8269530324006419,0.9757339276446194,11,11,0.0130875169874,0.0308980058801,0.017810488892664622,1.9123470956290372,1.3462237961609649,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.776824973212948,False,False
58,74,1,1,68,90,-0.06831924603391823,-0.016724401974561716,0.7552021875906153,0.8269530324006416,0.8269530324006416,0.9757339276446191,11,11,-0.0130875169874,-0.0308980058801,0.017810488892664778,1.9123470956290352,1.3462237961609624,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.7768249732129474,False,False
59,75,1,1,69,91,0.06831924603391823,0.016724401974561716,0.7552021875906153,0.8269530324006416,0.8269530324006416,0.9757339276446191,11,11,0.0130875169874,0.0308980058801,0.017810488892664778,1.9123470956290352,1.3462237961609624,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.7768249732129474,False,False
14,40,1,1,24,56,-0.5956356668348486,-0.5073563174289276,0.14821031432692594,0.6654250268633549,0.6654250268633549,0.9452361234037219,18,18,-0.986582783137,-0.962750984858,0.023831798278504013,1.0252577357533221,1.0415804665461232,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.7633324998199045,False,False
15,41,1,1,25,57,0.5956356668348486,0.5073563174289276,0.14821031432692594,0.6654250268633549,0.6654250268633549,0.9452361234037219,18,18,0.986582783137,0.962750984858,0.023831798278504013,1.0252577357533221,1.0415804665461232,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.7633324998199045,False,False
8,34,1,1,18,50,-0.6614047248080128,-0.6248321663900926,0.05529527843717209,0.6231515472933851,0.6231515472933851,0.9255302250926282,19,19,-0.987125535553,-0.989821265487,0.0026957299335341744,1.0254789660278705,1.0193303864257972,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.7469791928836123,False,False
9,35,1,1,19,51,0.6614047248080128,0.6248321663900926,0.05529527843717209,0.6231515472933851,0.6231515472933851,0.9255302250926282,19,19,0.987125535553,0.989821265487,0.0026957299335341744,1.0254789660278705,1.0193303864257972,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.7469791928836123,False,False
10,36,1,1,20,52,-0.6555960551288398,-0.5859386906842315,0.10625043256387348,0.6662240890061364,0.6662240890061364,0.7458860945704006,19,19,-0.983653719692,-0.972524658104,0.01112906158811966,1.0292973174336215,1.0311713526920891,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.7202684121617009,False,False
11,37,1,1,21,53,0.6555960551288398,0.5859386906842315,0.10625043256387348,0.6662240890061364,0.6662240890061364,0.7458860945704006,19,19,0.983653719692,0.972524658104,0.01112906158811966,1.0292973174336215,1.0311713526920891,oscillatory,oscillatory,UNDERRESOLVED,DIAGNOSTIC,False,0.7202684121617009,False,False
68,96,1,1,78,112,-0.014846153432676291,-0.022151879792053544,0.32980164338008044,0.6985954620102516,0.6985954620102516,0.7709403268353957,6,4,0.0109740911262,0.004072307666,0.006901783460253028,1.4212784813726163,1.735484847476929,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.7124221124079877,False,False
69,97,1,1,79,113,0.014846153432676291,0.022151879792053544,0.32980164338008044,0.6985954620102516,0.6985954620102516,0.7709403268353957,6,4,-0.0109740911262,-0.004072307666,0.006901783460253028,1.4212784813726163,1.735484847476929,mixed,mixed,UNDERRESOLVED,DIAGNOSTIC,False,0.7124221124079877,False,False
