cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
130,1,154,oscillatory,-0.12799105925924287,8.969219073210542e-17,8,0.477967374426,1.8075602040812444,1.8075602040812444,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
131,1,155,oscillatory,0.12799105925924287,8.969219073210542e-17,8,-0.477967374426,1.8075602040812444,1.8075602040812444,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
132,1,156,mixed,-0.0032565277313561826,-0.11265889228095818,13,0.0241891692372,1.3291039583227298,1.3291039583227298,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
133,1,157,mixed,0.0032565277313561826,-0.11265889228095818,13,-0.0241891692372,1.3291039583227298,1.3291039583227298,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
134,1,158,oscillatory,-0.13901079554642942,5.803612341489174e-17,2,0.31854111229,3.366996609838384,3.366996609838384,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
135,1,159,oscillatory,0.13901079554642942,5.803612341489174e-17,2,-0.31854111229,3.366996609838384,3.366996609838384,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
136,1,160,mixed,-0.0255656459163968,0.10107295860092187,13,-0.0346883385573,1.4361552644587916,1.4361552644587916,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
137,1,161,mixed,0.0255656459163968,0.10107295860092187,13,0.0346883385573,1.4361552644587916,1.4361552644587916,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
138,1,162,mixed,-0.0255656459163969,-0.1010729586009217,13,-0.0346883385573,1.4361552644587874,1.4361552644587874,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
139,1,163,mixed,0.0255656459163969,-0.1010729586009217,13,0.0346883385573,1.4361552644587874,1.4361552644587874,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
140,1,164,mixed,-0.08636721230835566,0.05023196305135671,14,0.0406305752399,2.0793405360344175,2.0793405360344175,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
141,1,165,mixed,0.08636721230835566,0.05023196305135671,14,-0.0406305752399,2.0793405360344175,2.0793405360344175,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
142,1,166,mixed,-0.08636721230835549,-0.0502319630513567,14,0.0406305752399,2.079340536034427,2.079340536034427,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
143,1,167,mixed,0.08636721230835549,-0.0502319630513567,14,-0.0406305752399,2.079340536034427,2.079340536034427,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
144,1,168,oscillatory,-0.10064248884015096,7.386415707349858e-17,0,0.755460858303,1.490440820562905,1.490440820562905,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
145,1,169,oscillatory,0.10064248884015096,7.386415707349858e-17,0,-0.755460858303,1.490440820562905,1.490440820562905,True,1.1151301242690912,DIAGNOSTIC,frozen_geometry_only
