low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_ppw,high_ppw,low_wavelength_status,high_wavelength_status,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
51,59,1,1,51,59,1.1581224728138306,1.1224427019905199,0.030808288122258304,0.9948243941219291,0.9948243941219291,0.9994207513811562,39,39,6.564102564102564,8.205128205128204,UNDERRESOLVED,DIAGNOSTIC,0.995672165943,0.995370475031,0.00030169091160814343,1.010334104718367,1.0120178366129846,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9921285811001077,True,False
44,48,1,1,44,48,-1.0929603207263068,-1.0580911939899782,0.03190337844392836,0.9954739226214898,0.9954739226214898,0.998437021640223,37,37,6.918918918918919,8.64864864864865,UNDERRESOLVED,DIAGNOSTIC,-0.995898034681,-0.995630731546,0.00026730313537770556,1.0221561574702345,1.0256249806240685,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9921081022163604,True,False
45,49,1,1,45,49,1.0929603207263068,1.0580911939899782,0.03190337844392836,0.9954739226214898,0.9954739226214898,0.998437021640223,37,37,6.918918918918919,8.64864864864865,UNDERRESOLVED,DIAGNOSTIC,0.995898034681,0.995630731546,0.00026730313537770556,1.0221561574702345,1.0256249806240685,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9921081022163604,True,False
120,120,1,1,120,120,-0.46064498645853863,-0.438212176491429,0.04869869558241404,0.9989767510208926,0.9989767510208926,0.9998854329536732,25,25,10.24,12.8,DIAGNOSTIC,RESOLVED,-0.961684433641,-0.957348476949,0.004335956692142373,1.0492499172719416,1.0546044084080366,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9920526045135917,True,False
121,121,1,1,121,121,0.46064498645853863,0.438212176491429,0.04869869558241404,0.9989767510208926,0.9989767510208926,0.9998854329536732,25,25,10.24,12.8,DIAGNOSTIC,RESOLVED,0.961684433641,0.957348476949,0.004335956692142373,1.0492499172719416,1.0546044084080366,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9920526045135917,True,False
122,122,1,1,122,122,-0.4360599417696697,-0.41472233630068117,0.048932734757505474,0.9989780337585493,0.9989780337585493,0.9997914764601522,24,24,10.666666666666666,13.333333333333334,DIAGNOSTIC,RESOLVED,-0.979108872166,-0.977153716415,0.0019551557512514917,1.0419958386193264,1.0456410338535385,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9919947791565418,True,False
123,123,1,1,123,123,0.4360599417696697,0.41472233630068117,0.048932734757505474,0.9989780337585493,0.9989780337585493,0.9997914764601522,24,24,10.666666666666666,13.333333333333334,DIAGNOSTIC,RESOLVED,0.979108872166,0.977153716415,0.0019551557512514917,1.0419958386193264,1.0456410338535385,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9919947791565418,True,False
54,64,1,1,54,64,-1.199197990182743,-1.1631284648722715,0.030078040161637547,0.9943173765147044,0.9943173765147044,0.9993447196767364,40,40,6.4,8.0,UNDERRESOLVED,DIAGNOSTIC,-0.996014147266,-0.995742019109,0.0002721281576149037,1.0097590120345064,1.0114250400722358,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9919148998037611,True,False
55,65,1,1,55,65,1.199197990182743,1.1631284648722715,0.030078040161637547,0.9943173765147044,0.9943173765147044,0.9993447196767364,40,40,6.4,8.0,UNDERRESOLVED,DIAGNOSTIC,0.996014147266,0.995742019109,0.0002721281576149037,1.0097590120345064,1.0114250400722358,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9919148998037611,True,False
48,56,1,1,48,56,-1.1361048862276828,-1.100716253914405,0.031149089086996123,0.9950156500514004,0.9950156500514004,0.9981961459931802,38,38,6.7368421052631575,8.421052631578947,UNDERRESOLVED,DIAGNOSTIC,-0.996174549711,-0.995930797262,0.00024375244894625503,1.021759061727076,1.0253467487099077,oscillatory,oscillatory,RESOLVED,RESOLVED,False,0.9918860631660859,True,False
