theme,zip,cls,eligible,reason,n_text,legacy,C,Q,AB,chain
Misc,SST_ideal_links_comprehensive_test_suite_v0.1.0.zip,A/B,False,no absolute dimensionful or action-scale observable found,40,0,0,0,21,3
Misc,SST_ideal_links_comprehensive_test_suite_v0.2.0.zip,C,True,"absolute observable present (C=24, Q=0)",86,0,24,0,30,3
Misc,SST_ideal_links_comprehensive_test_suite_v0.2.1.1.zip,C,True,"absolute observable present (C=22, Q=0)",120,0,22,0,26,3
Misc,SST_ideal_links_comprehensive_test_suite_v0.2.1.zip,C,True,"absolute observable present (C=25, Q=0)",89,0,25,0,31,3
Misc,sst_knot_candidate_robustness_sweep_v10_0.zip,C,True,"absolute observable present (C=4, Q=0) [WARN: heavy calibrated-chain dependence]",75,0,4,0,4,220
Misc,sst_knot_candidate_robustness_sweep_v10_2.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,257,1,15,0,37,858
Misc,SST_Notebook_2012_2013_Provenance_Inventory_v0.1.zip,C,True,"absolute observable present (C=14, Q=0)",2,0,14,0,16,9
Misc,sst_schrodinger_scripts.zip,X,False,uses legacy reference normalization (1 hits) -> gate 1 fails,3,1,3,0,26,84
Misc,sst_taxonomy_starter.zip,A/B,False,no absolute dimensionful or action-scale observable found,7,0,0,0,0,0
Misc,SST_Toroflux_Atomic_Transition_Audit_v0.1.1.zip,A/B,False,no absolute dimensionful or action-scale observable found,10,0,0,0,10,54
Misc,SST_v0.4.0_C9_outputs_audit.zip,A/B,False,no absolute dimensionful or action-scale observable found,7,0,0,0,4,0
Misc,SST_v0_8_12_evidence_pack (2).zip,X,False,uses legacy reference normalization (5 hits) -> gate 1 fails,11,5,18,0,21,372
Misc,sst_v0_8_16_patch_bundle.zip,X,False,uses legacy reference normalization (5 hits) -> gate 1 fails,12,5,323,1,324,590
Misc,sst_v0_8_17_evidence_pack_port.zip,X,False,uses legacy reference normalization (11 hits) -> gate 1 fails,13,11,265,1,317,867
Misc,sst_v0_8_18_canonization_patches.zip,X,False,uses legacy reference normalization (6 hits) -> gate 1 fails,3,6,269,1,344,591
Misc,SST_v0_8_25_patch_pack.zip,X,False,uses legacy reference normalization (10 hits) -> gate 1 fails,4,10,347,1,500,753
Misc,sst_v0_8_28_evidence_pack (1).zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,13,2,45,0,36,519
Misc,sst_v0_8_28_evidence_pack.zip,X,False,uses legacy reference normalization (16 hits) -> gate 1 fails,25,16,396,1,590,1283
Misc,sst_v0_8_28_evidence_pack_reviewed_r3.zip,X,False,uses legacy reference normalization (32 hits) -> gate 1 fails,83,32,876,2,1252,3466
Misc,sst_v0_8_30_evidence_pack_reviewed_r4 (1).zip,X,False,uses legacy reference normalization (44 hits) -> gate 1 fails,110,44,1253,3,1791,4243
Misc,sst_v0_8_30_evidence_pack_reviewed_r4.zip,X,False,uses legacy reference normalization (44 hits) -> gate 1 fails,110,44,1253,3,1791,4243
Misc,SSTcore-v0.8.13-core-torsion-impedance-patch.zip,X,False,uses legacy reference normalization (17 hits) -> gate 1 fails,293,17,211,0,458,1106
Misc,SSTcore_Cpp_Classes_resolved_tube_step1_4_patched.zip,X,False,uses legacy reference normalization (12 hits) -> gate 1 fails,193,12,103,0,195,823
Misc,SSTcore_Cpp_Classes_resolved_tube_step5_kkt_nnls_patched.zip,X,False,uses legacy reference normalization (12 hits) -> gate 1 fails,194,12,103,0,196,823
Misc,SSTcore_v0.8.18_source(1).zip,X,False,uses legacy reference normalization (9 hits) -> gate 1 fails,314,9,68,0,145,243
Misc,SSTcore_v0.8.28_audit_evidence.zip,A/B,False,dominated by dimensionless observables (AB=20 vs CQ=2),2,0,2,0,20,0
Misc,SSTcores_src_p0_build_canon_fixed.zip,X,False,uses legacy reference normalization (7 hits) -> gate 1 fails,96,7,51,0,79,702
Misc,three_hessian_gate_audit_package.zip,C,True,"absolute observable present (C=22, Q=0)",7,0,22,0,6,6
Misc,TwelveData.zip,A/B,False,no absolute dimensionful or action-scale observable found,400,0,0,0,0,0
Misc,TwelveSummary.zip,A/B,False,no absolute dimensionful or action-scale observable found,1,0,0,0,2,0
Misc,two_remaining_gate_scripts_package.zip,A/B,False,dominated by dimensionless observables (AB=31 vs CQ=1),25,0,1,0,31,1
Misc,U(q) experiment — twisted vortex ring speed deficit.zip,A/B,False,no absolute dimensionful or action-scale observable found,6,0,0,0,8,1
Misc,unified_audit_readme_provenance_package.zip,A/B,False,dominated by dimensionless observables (AB=21 vs CQ=1),2,0,1,0,21,8
Misc,unified_maxhr_readme_package.zip,A/B,False,dominated by dimensionless observables (AB=14 vs CQ=1),3,0,1,0,14,8
Misc,v0.4.1_campaign_output.zip,C,True,"absolute observable present (C=5, Q=0)",33,0,5,0,15,0
Misc,v0.4.2_campaign_output.zip,A/B,False,no absolute dimensionful or action-scale observable found,4,0,0,0,0,0
Misc,v0.4.zip,A/B,False,no absolute dimensionful or action-scale observable found,34,0,0,0,16,0
Misc,Vortex_thought_experiments_v5_2_patch_pack.zip,C,True,"absolute observable present (C=4, Q=0)",2,0,4,0,20,0
Misc,Vortex_thought_experiments_v5_4_patch_pack (1).zip,C,True,"absolute observable present (C=6, Q=0)",1,0,6,0,12,5
Misc,Vortex_thought_experiments_v5_4_patch_pack.zip,C,True,"absolute observable present (C=6, Q=0)",1,0,6,0,12,5
Misc,WikiLink.zip,A/B,False,no absolute dimensionful or action-scale observable found,1,0,0,0,0,0
ProofScripts,canon_evidence.zip,A/B,False,no absolute dimensionful or action-scale observable found,16,0,0,0,2,11
ProofScripts,knots_for_particles.zip,A/B,False,no absolute dimensionful or action-scale observable found,4,0,0,0,0,0
ProofScripts,VAM_Python_Benchmarks.zip,C,True,"absolute observable present (C=9, Q=0) [WARN: heavy calibrated-chain dependence]",8,0,9,0,23,71
Route_I,routeI_heat_guard_patch_bundle.zip,X,False,uses legacy reference normalization (8 hits) -> gate 1 fails,4,8,276,1,341,728
Route_I,routeI_heat_guard_patch_bundle_v0_8_19.zip,X,False,uses legacy reference normalization (9 hits) -> gate 1 fails,6,9,301,1,367,791
Route_I,SST_Route_I_relative_entropy_PoC.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,6,2,6,0,2,24
Route_I,SST_Route_I_relative_entropy_PoC_v0.0.2.zip,X,False,uses legacy reference normalization (2 hits) -> gate 1 fails,9,2,7,0,31,48
