time_hat,a2_re,a2_im,a3_re,a3_im,a4_re,a4_im,a5_re,a5_im,a6_re,a6_im,a7_re,a7_im
0.384,0.0017630344681470722,-0.005156796368771095,-0.004696074064642972,-0.003758821616702487,-0.00587416346072579,0.0006232369104264386,3.633776731718299e-05,-0.0004089804185136536,5.0648297280447147e-05,-0.00020448756022113375,-0.0053633588508306615,-0.001847487877118516
0.39,0.0015323897604644498,-0.005202664215519967,-0.004964230761820168,-0.003420607258400986,-0.005790889886159661,0.0012028516517385934,-2.1295748788332993e-05,-0.0004104536379744357,2.397149050694763e-05,-0.0002106208502149435,-0.005636589419904338,-0.0009247122219389191
0.396,0.0012997186170600685,-0.00523948477584025,-0.005204437563909923,-0.00306405969243,-0.005649277601257958,0.0017724555939441125,-7.882961356240757e-05,-0.00040363365428188803,-3.448813383807219e-06,-0.00021324971202894946,-0.005750592669691002,3.0395465505554035e-05
0.402,0.0010654147048653664,-0.00526725726016826,-0.005415539894559239,-0.002691713258569024,-0.005450315044496032,0.00232610458139275,-0.00013505497040708087,-0.00038857662308805865,-3.115063275581755e-05,-0.00021226482456509718,-0.005702221432336602,0.0009907842716149902
0.40800000000000003,0.000829852049826232,-0.005285999451847352,-0.005596684630588027,-0.0023061511749788905,-0.005195581175729286,0.0028579293653053393,-0.00018877674543879802,-0.0003655157351564694,-5.865341738132859e-05,-0.0002076159860024653,-0.0054929261974790075,0.0019292523495408065
0.41400000000000003,0.0005933838055957151,-0.005295739015243052,-0.0057473141041160525,-0.0019099576836976752,-0.004887247702667437,0.0033621940077351326,-0.00023883965621968896,-0.000334858233820446,-8.546559307841045e-05,-0.00019931569968975864,-0.005128718115896382,0.0028192194565231387
0.42,0.0003563441410259009,-0.005296504826251972,-0.005867150149060037,-0.0015056736233978346,-0.004528075865817332,0.0038333567216767813,-0.0002841536038404968,-0.0002971786766960841,-0.00011109288259014498,-0.0001874418370583185,-0.004620001294626929,0.0036354834939355428
0.426,0.00011905310548103812,-0.005288319450953656,-0.005956169415620209,-0.0010957579051107103,-0.004121407063368089,0.004266132669456538,-0.0003237179221337496,-0.0002532085805412058,-0.0001350472709793684,-0.0001721391982752703,-0.0039812787336108504,0.004354938873185664
0.432,-0.00011817605501593956,-0.005271193795490117,-0.006014571848449051,-0.0006825569174273852,-0.0036711466214524643,0.0046555581334831375,-0.00035664399959363987,-0.00020382264717607596,-0.00015685644164897578,-0.0001536198205613919,-0.0032307401308038107,0.004957235571431495
0.438,-0.00035502798746345947,-0.005245124714564741,-0.006042744729783477,-0.0002682832499355351,-0.003181740027620522,0.0049970553478526445,-0.0003821758290454083,-0.0001500218112625018,-0.00017607347921854148,-0.0001321619215013461,-0.002389743391105886,0.005425359483354087
0.444,-0.0005911758138308527,-0.005210096025161762,-0.006041224977431288,0.00014499563775904697,-0.0026581409635341394,0.0052864971134211,-0.0003997080704179364,-9.291338482619405e-05,-0.00019228661809544685,-0.00010810740438293179,-0.0014822048848901804,0.005746117036755134
0.45,-0.0008262723907066674,-0.005166082968143831,-0.006010662433201913,0.0005553589829434503,-0.0021057705272456667,0.005520270102870287,-0.00040880123139806117,-3.368860869010313e-05,-0.00020512880808943082,-8.185788997632003e-05,-0.000533916215940696,0.00591050991777832
