pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns
PAIR_13E105BBED3D,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_126F0754BB73F543,1.0,1.0,total_beta,1.0,3,1.0
PAIR_C07C72E03931,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_BB1FAC73E8F616EE,1.5,1.5,total_beta,1.0,3,1.0
PAIR_F035D00F159B,TWIST_7_2,twist,CAND_8D0B4E15F88FE05A,CAND_0C7D44A519727925,2.0,2.0,total_beta,1.0,3,1.0
PAIR_B8882F9CF51F,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_EB288B9644CABAD9,-2.0,-2.0,total_beta,1.0,3,1.0
PAIR_311BFA6F16C8,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_652FDACE1C560CF3,-1.5,-1.5,total_beta,1.0,3,1.0
PAIR_622F92C83945,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_BC363945485A3871,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_091035178D06,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_D88266C9DFE906FB,-0.75,-0.75,total_beta,1.0,3,1.0
PAIR_847476CCC3D3,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_0BBD9AD01D985A04,-0.5,-0.5,total_beta,1.0,3,1.0
PAIR_5DC2D84FE701,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_00A3B29E061496C4,-0.25,-0.25,total_beta,1.0,3,1.0
PAIR_D3990B41C11F,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_BC0A38E7D8674474,0.25,0.25,total_beta,1.0,3,1.0
PAIR_F273DE3A9AE0,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_D3283B9DA50AA721,0.5,0.5,total_beta,1.0,3,1.0
PAIR_C2FAD9645CB5,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_71E763610DA6E90F,0.75,0.75,total_beta,1.0,3,1.0
PAIR_74DC27D63E49,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_DE6873357043EE5D,1.0,1.0,total_beta,1.0,3,1.0
PAIR_8500E6DB5B28,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_CF821DDEC7592F47,1.5,1.5,total_beta,1.0,3,1.0
PAIR_1B64C77790D2,TRIPLE_GEAR_T3_3,triple_gear,CAND_40AEBA212BE41171,CAND_9B626A9D2974DD71,2.0,2.0,total_beta,1.0,3,1.0
