cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status,equilibrium_status
82,2,162;163,real_dominant,-0.0,-0.0021594309648828277,0,-5.44462070487e-15;5.44462070487e-15,2.60830137446287,2.725398949482262,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
83,2,164;166,oscillatory,-0.07071420744630685,1.7147036463490742e-17,6,0.99557074268;0.99557074268,2.118419838814912,3.0979908482708307,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
84,2,165;167,oscillatory,0.07071420744630685,1.7147036463490742e-17,6,-0.99557074268;-0.99557074268,2.118419838814912,3.0979908482708307,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
85,2,168;170,oscillatory,-0.07825921208832014,-1.5828033658606837e-17,7,0.996209684973;0.996209684973,1.6961998975908035,2.3583144885295373,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
86,2,169;171,oscillatory,0.07825921208832014,-1.5828033658606837e-17,7,-0.996209684973;-0.996209684973,1.6961998975908035,2.3583144885295373,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
87,2,172;174,oscillatory,-0.0372478169681973,6.595014024419515e-19,13,0.980737402649;0.980737402649,1.0275025290993676,1.0280052331428606,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
88,2,173;175,oscillatory,0.0372478169681973,6.595014024419515e-19,13,-0.980737402649;-0.980737402649,1.0275025290993676,1.0280052331428606,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
89,2,176;178,oscillatory,-0.016970112781425517,1.170614989334464e-17,2,0.947330797805;0.947330797805,1.8080872018039118,2.46746079907842,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
90,2,177;179,oscillatory,0.016970112781425517,1.170614989334464e-17,2,-0.947330797805;-0.947330797805,1.8080872018039118,2.46746079907842,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
91,2,180;181,real_dominant,-0.0,0.0021594309648828255,0,-1.98074075036e-15;1.98074075036e-15,2.758566813250292,2.7927726125122403,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
92,1,182,oscillatory,-6.269350140342656e-10,-4.2053278217328855e-17,0,-1.56926043008e-07,5429066.265281702,5429066.265281702,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
93,1,183,oscillatory,6.269350140342656e-10,-4.2053278217328855e-17,0,1.56926043008e-07,5429066.265281702,5429066.265281702,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
94,2,184;186,oscillatory,-0.014003799380137166,3.4541385952897215e-17,13,0.882343903194;0.882343903194,1.334586263984986,1.406424422919142,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
95,2,185;187,oscillatory,0.014003799380137166,3.4541385952897215e-17,13,-0.882343903194;-0.882343903194,1.334586263984986,1.406424422919142,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
96,2,188;190,oscillatory,-0.007276472286701379,-4.410415628830551e-18,15,-0.695929610094;-0.695929610094,1.4413974892175114,1.445330462286056,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
97,2,189;191,oscillatory,0.007276472286701379,-4.410415628830551e-18,15,0.695929610094;0.695929610094,1.4413974892175114,1.445330462286056,True,1.3087633128710705,DIAGNOSTIC,relative_equilibrium_reference
